headline,content,timestamp,source
"Micron revenue almost triples, tops estimates as demand for memory soars","Micron's stock has soared this year while its tech peers have struggled, as the impact of rising memory costs ripples across the industry.",2026-03-18T22:31:17,CNBC
Iran missile attack on Qatar causes 'extensive damage' to facility housing huge gas plant,"Iran's Revolutionary Guard had threatened to attack energy facilities in Qatar, Saudi Arabia and the United Arab Emirates.",2026-03-19T00:05:45,CNBC
Fed holds interest rates steady — here’s what that means for consumers,"From mortgage rates to auto loans and credit cards, here’s a look at how the Fed's March interest rate decision may affect your finances.",2026-03-18T19:17:27,CNBC
Oil jumps 4% as Iranian retaliatory strikes on Qatar’s key energy facility stoke supply worries,Oil prices jumped as markets react to escalating tensions after Qatar said Iranian missile strikes damaged a key liquefied natural gas export facility.,2026-03-19T01:35:54,CNBC
Asia markets track Wall Street losses as Iran war fuels energy worries; BOJ rate decision on deck,"Investors in Asia will look toward the Bank of Japan decision, which is expected to hold rates at 0.75%.",2026-03-19T01:51:12,CNBC
Trump waives Jones Act shipping rules for 60 days to steady oil market,"The Trump administration ""remains committed to continuing to strengthen our critical supply chains"" amid the Iran war, press secretary Karoline Leavitt said.",2026-03-18T19:26:16,CNBC
Here are the five key takeaways from this week's Fed meeting,"While no one expected the Fed to cut — much less hike — at this meeting, the market always looks for clues about what's next.",2026-03-18T21:20:19,CNBC
Social media is eroding young people’s happiness. Low-income teens may be most at risk.,"Heavy usage of certain types of social media may be contributing to a drop in youth well-being, according to Gallup’s new World Happiness Report.",2026-03-19T00:01:00,MarketWatch
Why Starbucks’ turnaround plans might not win over the younger crowd,"Efforts such as adding comfier seats at Starbucks stores might not work with younger customers, RBC analysts say.",2026-03-18T23:48:00,MarketWatch
Your March Madness bracket could wreck your stock portfolio — so ‘sit on your hands’ until April 6,"College basketball and your money — the stock market often loses when your team does,",2026-03-18T22:58:00,MarketWatch
"Five Below stock continues its tear, as upbeat outlook eases fears of consumer slowdown","Shares of Five Below rallied after hours Wednesday after the teen-centric discount retailer offered an upbeat forecast for this year and said shoppers across all income levels were buying at its stores, helped by efforts to draw younger shoppers and keep apace with viral trends online.",2026-03-18T22:47:00,MarketWatch
Lumentum’s new revenue forecast further fuels one of the market’s hottest stocks,"The company is targeting a massive $2 billion quarterly revenue run rate within two years, driven by increasing demand for optical solutions for advanced AI workloads.",2026-03-18T22:32:00,MarketWatch
"Swarmer’s stock surges nearly 1,100% in two days, underscoring fervent demand for drones","Defense-technology stocks have been hot in recent months, and now investors are pouring into Swarmer shares following this week’s IPO.",2026-03-18T22:30:00,MarketWatch
"Netflix more likely to raise prices with Warner Bros. deal out of the way, Citi says","Netflix is in a better position to raise subscription prices now that it is out from under the shadow of M&amp;A and regulatory scrutiny, Citi analyst Jason Bazinet says",2026-03-18T22:25:00,MarketWatch
Qualcomm unveils $20 billion stock buyback program,,2026-03-17T13:04:34,Yahoo Finance
How Is CenterPoint Energy's Stock Performance Compared to Other Utilities Stocks?,,2026-03-17T14:22:12,Yahoo Finance
Guidewire (GWRE) Lost Some Momentum in Q4 after a Strong Run,,2026-03-17T14:21:58,Yahoo Finance
"More homes went under contract last month, but higher mortgage rates could undo that progress",,2026-03-17T14:20:56,Yahoo Finance
Should You Buy Nvidia Stock While It's Under $200?,,2026-03-17T14:20:00,Yahoo Finance
2 Fertilizer Stocks to Buy as Prices Surge Amid Iran War,,2026-03-17T14:23:03,Yahoo Finance
Here’s Why Parsons Corporation (PSN) Shares Dropped in Q4,,2026-03-17T14:23:34,Yahoo Finance
Oil extends gains as Iran inflicts ‘extensive damage’ at world’s largest LNG plant in Qatar,,2026-03-18T23:57:50,Seeking Alpha
Hyperfine outlines 55% revenue growth target for 2026 while expanding Swoop MRI adoption across hospitals and neurology offices,,2026-03-18T23:33:05,Seeking Alpha
Sera Prognostics outlines plan to expand partner programs to 15–17 states by year-end 2026 while maintaining cash runway through 2028,,2026-03-18T23:22:48,Seeking Alpha
"Red Cat targets scaling to 1,000 Black Widow drones monthly while expanding USV production in 2026",,2026-03-18T22:52:49,Seeking Alpha
DuPont plans reverse stock split,,2026-03-18T22:42:33,Seeking Alpha
HeartFlow targets $218M–$222M in 2026 revenue and accelerates PCI Navigator launch while expanding plaque coverage,,2026-03-18T22:33:09,Seeking Alpha
"H World targets 2,200–2,300 hotel openings in 2026 as asset-light strategy drives 12% network growth",,2026-03-18T22:33:06,Seeking Alpha
